Regulator,Target,Weight,Sign
G032,G022,0.17264420354887083,
G018,G021,0.05571762594761816,
G022,G031,0.05414975762595709,
G018,G031,0.05372695426095652,
G033,G022,0.04845191443048446,
G068,G079,0.04222875779486495,
G086,G089,0.03951547231846356,
G075,G072,0.029371534135536947,
G094,G031,0.028833183231203065,
G033,G017,0.026909068452765746,
G090,G086,0.02433254628985643,
G032,G030,0.024052342777876365,
G068,G078,0.023001651695418873,
G022,G018,0.020437679066919196,
G068,G024,0.02027500307771962,
G033,G047,0.019404996915305506,
G056,G055,0.017261814186968417,
G033,G012,0.01693427122444576,
G068,G054,0.012252568073786906,
G087,G098,0.011553793856460527,
G087,G086,0.011394057828827388,
G033,G002,0.010671199470559447,
G085,G072,0.010530660536786099,
G017,G046,0.010332292324275518,
G008,G038,0.01004038670499516,
G075,G084,0.009879275121057315,
G010,G009,0.009571652647871453,
G028,G031,0.00944262306887885,
G007,G004,0.00876517724736263,
G045,G044,0.008659372682496126,
G068,G061,0.008555449529254695,
G028,G087,0.008530636255216367,
G008,G063,0.008467218438827475,
G067,G066,0.008327911926654795,
G087,G072,0.008062582757073052,
G033,G032,0.008052557655915308,
G065,G023,0.007663006819678939,
G087,G073,0.0071163751569084275,
G094,G044,0.006911329427260586,
G087,G090,0.006724556247549167,
G087,G035,0.006346940441197949,
G094,G081,0.006163730658280406,
G033,G050,0.006042585842069748,
G094,G062,0.005906843339345682,
G029,G028,0.005870065940487133,
G068,G017,0.005782847052834515,
G006,G022,0.005761815030383627,
G002,G001,0.005548209692122674,
G068,G033,0.005492995853277409,
G094,G038,0.005424539951133306,
G061,G082,0.005411736851166265,
G087,G093,0.005365022004733065,
G068,G002,0.005312689022096751,
G001,G003,0.005157219945799363,
G075,G064,0.005132174816072351,
G019,G017,0.00511870304327213,
G068,G074,0.0050453431937946295,
G028,G071,0.004965191444117338,
G094,G051,0.004961578597613076,
G023,G006,0.004865343808676873,
G043,G045,0.00481754733694279,
G002,G003,0.004799702059285773,
G031,G028,0.004783129702586476,
G033,G062,0.0047632227108999154,
G068,G075,0.0047341701135684144,
G099,G072,0.004717958247413584,
G075,G090,0.004677587008281308,
G099,G090,0.004582311189137195,
G094,G052,0.004556747861964195,
G032,G031,0.004515192912182126,
G032,G018,0.004457812479112527,
G094,G021,0.00445681307151096,
G043,G044,0.0044422064306708295,
G028,G093,0.004431713692796008,
G028,G075,0.004415642281080989,
G075,G093,0.004387075228858671,
G028,G097,0.004375043754928699,
G028,G084,0.0042908417381252815,
G033,G069,0.004229161001846339,
G094,G055,0.004198221944005781,
G057,G058,0.004088027273752364,
G020,G017,0.00408723426911845,
G062,G082,0.00407028160407184,
G094,G008,0.003964497752205393,
G094,G015,0.0038645924262897375,
G071,G070,0.0038488033807124312,
G075,G074,0.003840022558614036,
G006,G004,0.003839629584220165,
G011,G004,0.0038249337520114748,
G025,G026,0.003743559131249495,
G062,G061,0.003682939856797946,
G003,G012,0.003675676982767743,
G087,G075,0.0036067196665202196,
G024,G018,0.003601150261756642,
G075,G073,0.003579517891957062,
G085,G086,0.0035688963929041634,
G060,G057,0.003567798694136488,
G028,G073,0.0035159846634775466,
G028,G098,0.0035102099402637837,
G003,G019,0.0034818136574012422,
G094,G057,0.0034189958987023263,
G068,G027,0.003334347523348336,
G048,G050,0.003332665433602345,
G033,G066,0.003324736701933126,
G061,G055,0.003322527173810039,
G028,G074,0.003299582096055548,
G008,G040,0.003288824912536456,
G014,G016,0.003288055948311883,
G033,G086,0.0032783379768127,
G028,G085,0.0032091750275153237,
G007,G001,0.0032059603532810393,
G094,G045,0.0031399906201664053,
G085,G089,0.002988038693389005,
G028,G090,0.002985579053144074,
G001,G007,0.002983282643499609,
G030,G031,0.002973301196759846,
G087,G074,0.002968273857907972,
G053,G047,0.0029427322747305625,
G047,G048,0.002915886674759757,
G047,G007,0.0029099445467672368,
G099,G075,0.002881079579357965,
G075,G098,0.002878434235209649,
G002,G006,0.0028769872355567756,
G087,G028,0.0028156726500020734,
G001,G006,0.0028091972116597156,
G085,G090,0.0028070677438097086,
G093,G092,0.0028016483383711353,
G087,G010,0.002797508680517148,
G075,G056,0.002773559178738001,
G068,G030,0.002758224555372791,
G068,G015,0.002750664060850803,
G064,G096,0.0027506347033201266,
G087,G084,0.002731603828773674,
G087,G009,0.002704392491965196,
G099,G091,0.0026901858470525612,
G094,G012,0.0026877176259438107,
G094,G013,0.0026813094063399927,
G094,G077,0.002667071019273281,
G075,G028,0.002633797513339348,
G028,G008,0.0026221275734021514,
G085,G009,0.0026024258181231324,
G099,G086,0.0025884449130661076,
G044,G043,0.0025438189217601628,
G001,G010,0.00253950621722775,
G011,G007,0.002532824056216816,
G008,G098,0.0025286928291663713,
G078,G079,0.002518096941362172,
G085,G074,0.0025139376926262783,
G075,G010,0.0025138574567675387,
G085,G076,0.002507550348625118,
G085,G028,0.0024945333132808272,
G033,G057,0.002490589977111752,
G075,G083,0.002477620437509907,
G094,G083,0.0024743831917604154,
G028,G086,0.002445607121861482,
G085,G099,0.0024449762035504293,
G042,G041,0.0024250718269498307,
G005,G002,0.0024117358096929,
G094,G043,0.002391391558055793,
G035,G036,0.002352125664867213,
G011,G001,0.0023477206889370894,
G075,G085,0.002341843820807041,
G099,G010,0.002339007251357593,
G033,G076,0.0023340996799325526,
G033,G018,0.002319256629158121,
G007,G002,0.0023031952147740393,
G028,G048,0.002301438451974825,
G099,G049,0.0022473976148649605,
G025,G046,0.0022122202599893334,
G002,G011,0.0022003788933911486,
G099,G098,0.002151416474970508,
G053,G051,0.0021484844498418252,
G099,G076,0.002133386937214942,
G041,G035,0.0021159795690004514,
G094,G090,0.0021010230593995673,
G008,G006,0.0020933169779887616,
G039,G049,0.0020843385349055706,
G006,G021,0.0020833317270824367,
G014,G004,0.00207781451029732,
G039,G035,0.0020653517911030923,
G085,G093,0.002062830803564303,
G022,G017,0.0020555423082439326,
G035,G039,0.0020135622746785932,
